,Series ID,State
0,LASST010000000000003,Alabama
1,LASST020000000000003,Alaska
2,LASST040000000000003,Arizona
3,LASST050000000000003,Arkansas
4,LASST060000000000003,California
5,LASST080000000000003,Colorado
6,LASST090000000000003,Connecticut
7,LASST100000000000003,Delaware
8,LASST110000000000003,District of Columbia
9,LASST120000000000003,Florida
10,LASST130000000000003,Georgia
11,LASST150000000000003,Hawaii
12,LASST160000000000003,Idaho
13,LASST170000000000003,Illinois
14,LASST180000000000003,Indiana
15,LASST190000000000003,Iowa
16,LASST200000000000003,Kansas
17,LASST210000000000003,Kentucky
18,LASST220000000000003,Louisiana
19,LASST230000000000003,Maine
20,LASST240000000000003,Maryland
21,LASST250000000000003,Massachusetts
22,LASST260000000000003,Michigan
23,LASST270000000000003,Minnesota
24,LASST280000000000003,Mississippi
25,LASST290000000000003,Missouri
26,LASST300000000000003,Montana
27,LASST310000000000003,Nebraska
28,LASST320000000000003,Nevada
29,LASST330000000000003,New Hampshire
30,LASST340000000000003,New Jersey
31,LASST350000000000003,New Mexico
32,LASST360000000000003,New York
33,LASST370000000000003,North Carolina
34,LASST380000000000003,North Dakota
35,LASST390000000000003,Ohio
36,LASST400000000000003,Oklahoma
37,LASST410000000000003,Oregon
38,LASST420000000000003,Pennsylvania
39,LASST440000000000003,Rhode Island
40,LASST450000000000003,South Carolina
41,LASST460000000000003,South Dakota
42,LASST470000000000003,Tennessee
43,LASST480000000000003,Texas
44,LASST490000000000003,Utah
45,LASST500000000000003,Vermont
46,LASST510000000000003,Virginia
47,LASST530000000000003,Washington
48,LASST540000000000003,West Virginia
49,LASST550000000000003,Wisconsin
50,LASST560000000000003,Wyoming
51,LASST720000000000003,Puerto Rico
